date,weekday,source_of_truth,gcatholic_celebration_name,romcal_celebration_name,validation_reason,review_notes
2023-06-02,Friday,Friday of the 8th Week in Ordinary Time,null,Marcellinus Of Rome And Peter The Exorcist Martyrs,Source of truth: Friday of the 8th Week in Ordinary Time; GCatholic: missing; Romcal: Marcellinus Of Rome And Peter The Exorcist Martyrs.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-06-05,Monday,"Saint Boniface, bishop and martyr",null,Boniface Of Mainz Bishop,"Source of truth: Saint Boniface, bishop and martyr; GCatholic: missing; Romcal: Boniface Of Mainz Bishop.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-06-06,Tuesday,Tuesday of the 9th Week in Ordinary Time,null,Norbert Of Xanten Bishop,Source of truth: Tuesday of the 9th Week in Ordinary Time; GCatholic: missing; Romcal: Norbert Of Xanten Bishop.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-06-09,Friday,Friday of the 9th Week in Ordinary Time,null,Ephrem The Syrian Deacon,Source of truth: Friday of the 9th Week in Ordinary Time; GCatholic: missing; Romcal: Ephrem The Syrian Deacon.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-06-17,Saturday,The Immaculate Heart of the Blessed Virgin Mary,null,Immaculate Heart Of Mary,Source of truth: The Immaculate Heart of the Blessed Virgin Mary; GCatholic: missing; Romcal: Immaculate Heart Of Mary.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-06-19,Monday,Monday of the 11th Week in Ordinary Time,null,Romuald Of Ravenna Abbot,Source of truth: Monday of the 11th Week in Ordinary Time; GCatholic: missing; Romcal: Romuald Of Ravenna Abbot.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-06-22,Thursday,Thursday of the 11th Week in Ordinary Time,null,Paulinus Of Nola Bishop,Source of truth: Thursday of the 11th Week in Ordinary Time; GCatholic: missing; Romcal: Paulinus Of Nola Bishop.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-06-27,Tuesday,Tuesday of the 12th Week in Ordinary Time,null,Cyril Of Alexandria Bishop,Source of truth: Tuesday of the 12th Week in Ordinary Time; GCatholic: missing; Romcal: Cyril Of Alexandria Bishop.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-06-28,Wednesday,"Saint Irenaeus, bishop and martyr",null,Irenaeus Of Lyon Bishop,"Source of truth: Saint Irenaeus, bishop and martyr; GCatholic: missing; Romcal: Irenaeus Of Lyon Bishop.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-06-30,Friday,Friday of the 12th Week in Ordinary Time,null,First Martyrs Of The Holy Roman Church,Source of truth: Friday of the 12th Week in Ordinary Time; GCatholic: missing; Romcal: First Martyrs Of The Holy Roman Church.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-07-04,Tuesday,Tuesday of the 13th Week in Ordinary Time,null,Elizabeth Of Portugal,Source of truth: Tuesday of the 13th Week in Ordinary Time; GCatholic: missing; Romcal: Elizabeth Of Portugal.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-07-05,Wednesday,Wednesday of the 13th Week in Ordinary Time,null,Anthony Zaccaria Priest,Source of truth: Wednesday of the 13th Week in Ordinary Time; GCatholic: missing; Romcal: Anthony Zaccaria Priest.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-07-06,Thursday,Thursday of the 13th Week in Ordinary Time,null,Maria Goretti Virgin,Source of truth: Thursday of the 13th Week in Ordinary Time; GCatholic: missing; Romcal: Maria Goretti Virgin.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-07-11,Tuesday,"Saint Benedict, abbot",null,Benedict Of Nursia Abbot,"Source of truth: Saint Benedict, abbot; GCatholic: missing; Romcal: Benedict Of Nursia Abbot.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-07-13,Thursday,Thursday of the 14th Week in Ordinary Time,null,Henry Ii Emperor,Source of truth: Thursday of the 14th Week in Ordinary Time; GCatholic: missing; Romcal: Henry Ii Emperor.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-07-14,Friday,Friday of the 14th Week in Ordinary Time,null,Camillus De Lellis Priest,Source of truth: Friday of the 14th Week in Ordinary Time; GCatholic: missing; Romcal: Camillus De Lellis Priest.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-07-15,Saturday,"Saint Bonaventure, bishop and doctor",null,Bonaventure Of Bagnoregio Bishop,"Source of truth: Saint Bonaventure, bishop and doctor; GCatholic: missing; Romcal: Bonaventure Of Bagnoregio Bishop.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-07-20,Thursday,Thursday of the 15th Week in Ordinary Time,null,Apollinaris Of Ravenna Bishop,Source of truth: Thursday of the 15th Week in Ordinary Time; GCatholic: missing; Romcal: Apollinaris Of Ravenna Bishop.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-07-21,Friday,Friday of the 15th Week in Ordinary Time,null,Lawrence Of Brindisi Priest,Source of truth: Friday of the 15th Week in Ordinary Time; GCatholic: missing; Romcal: Lawrence Of Brindisi Priest.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-07-24,Monday,Monday of the 16th Week in Ordinary Time,null,Sharbel Makhluf Priest,Source of truth: Monday of the 16th Week in Ordinary Time; GCatholic: missing; Romcal: Sharbel Makhluf Priest.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-07-26,Wednesday,Saints Joachim and Anne,null,Joachim And Anne Parents Of Mary,Source of truth: Saints Joachim and Anne; GCatholic: missing; Romcal: Joachim And Anne Parents Of Mary.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-07-29,Saturday,"Saint Martha, Saint Mary and Saint Lazarus, the siblings from Bethany",null,Martha Of Bethany Mary Of Bethany And Lazarus Of Bethany,"Source of truth: Saint Martha, Saint Mary and Saint Lazarus, the siblings from Bethany; GCatholic: missing; Romcal: Martha Of Bethany Mary Of Bethany And Lazarus Of Bethany.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-08-01,Tuesday,"Saint Alphonsus Maria de Liguori, bishop and doctor of the Church",null,Alphonsus Liguori Bishop,"Source of truth: Saint Alphonsus Maria de Liguori, bishop and doctor of the Church; GCatholic: missing; Romcal: Alphonsus Liguori Bishop.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-08-02,Wednesday,Wednesday of the 17th Week in Ordinary Time,null,Eusebius Of Vercelli Bishop,Source of truth: Wednesday of the 17th Week in Ordinary Time; GCatholic: missing; Romcal: Eusebius Of Vercelli Bishop.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-08-04,Friday,"Saint John Vianney (the Curé of Ars), priest",null,John Mary Vianney Priest,"Source of truth: Saint John Vianney (the Curé of Ars), priest; GCatholic: missing; Romcal: John Mary Vianney Priest.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-08-05,Saturday,Saturday of the 17th Week in Ordinary Time,null,Dedication Of The Basilica Of Saint Mary Major,Source of truth: Saturday of the 17th Week in Ordinary Time; GCatholic: missing; Romcal: Dedication Of The Basilica Of Saint Mary Major.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-08-07,Monday,Monday of the 18th Week in Ordinary Time,null,Sixtus Ii Pope And Companions Martyrs,Source of truth: Monday of the 18th Week in Ordinary Time; GCatholic: missing; Romcal: Sixtus Ii Pope And Companions Martyrs.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-08-08,Tuesday,"Saint Dominic, priest",null,Dominic De Guzman Priest,"Source of truth: Saint Dominic, priest; GCatholic: missing; Romcal: Dominic De Guzman Priest.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-08-09,Wednesday,Wednesday of the 18th Week in Ordinary Time,null,Teresa Benedicta Of The Cross Stein Virgin,Source of truth: Wednesday of the 18th Week in Ordinary Time; GCatholic: missing; Romcal: Teresa Benedicta Of The Cross Stein Virgin.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-08-10,Thursday,"Saint Lawrence, Deacon and Martyr",null,Lawrence Of Rome Deacon,"Source of truth: Saint Lawrence, Deacon and Martyr; GCatholic: missing; Romcal: Lawrence Of Rome Deacon.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-08-11,Friday,"Saint Clare, virgin",null,Clare Of Assisi Virgin,"Source of truth: Saint Clare, virgin; GCatholic: missing; Romcal: Clare Of Assisi Virgin.",Source of truth did not match GCatholic or Romcal; needs human review.
2023-08-12,Saturday,Saturday of the 18th Week in Ordinary Time,null,Jane Frances De Chantal Religious,Source of truth: Saturday of the 18th Week in Ordinary Time; GCatholic: missing; Romcal: Jane Frances De Chantal Religious.,Source of truth did not match GCatholic or Romcal; needs human review.
